id,name,weight,measure,k
11236,"Kale, frozen, cooked, boiled, drained, without salt",130,"1.0 cup, chopped",1146.6
11791,"Kale, frozen, cooked, boiled, drained, with salt",130,"1.0 cup, chopped",1146.6
11234,"Kale, cooked, boiled, drained, without salt",130,"1.0 cup, chopped",1062.1
11769,"Collards, frozen, chopped, cooked, boiled, drained, with salt",170,"1.0 cup, chopped",1059.4
11164,"Collards, frozen, chopped, cooked, boiled, drained, without salt",170,"1.0 cup, chopped",1059.4
11461,"Spinach, canned, regular pack, drained solids",214,1.0 cup,987.8
11297,"Parsley, fresh",60,1.0 cup chopped,984
11855,"Spinach, canned, no salt added, solids and liquids",234,1.0 cup,891.1
11459,"Spinach, canned, regular pack, solids and liquids",234,1.0 cup,891.1
11794,"Lambsquarters, cooked, boiled, drained, with salt",180,"1.0 cup, chopped",889.6
11245,"Lambsquarters, cooked, boiled, drained, without salt",180,"1.0 cup, chopped",889.6
11458,"Spinach, cooked, boiled, drained, without salt",180,1.0 cup,888.5
11854,"Spinach, cooked, boiled, drained, with salt",180,1.0 cup,888.5
11575,"Turnip greens, frozen, cooked, boiled, drained, without salt",164,1.0 cup,851
11799,"Mustard greens, cooked, boiled, drained, with salt",140,"1.0 cup, chopped",829.8
11271,"Mustard greens, cooked, boiled, drained, without salt",140,"1.0 cup, chopped",829.8
11768,"Collards, cooked, boiled, drained, with salt",190,"1.0 cup, chopped",772.5
11162,"Collards, cooked, boiled, drained, without salt",190,"1.0 cup, chopped",772.5
31032,"Vegetable smoothie, NAKED JUICE, KALE BLAZER",268,1.0 cup,722.8
11087,"Beet greens, cooked, boiled, drained, without salt",144,"1.0 cup (1"" pieces)",697
11736,"Beet greens, cooked, boiled, drained, with salt",144,"1.0 cup (1"" pieces)",697
11893,"Turnip greens and turnips, frozen, cooked, boiled, drained, with salt",163,1.0 cup,676.6
11577,"Turnip greens and turnips, frozen, cooked, boiled, drained, without salt",163,1.0 cup,676.6
11463,"Spinach, frozen, chopped or leaf, unprepared",156,1.0 cup,580.3
11208,"Dandelion greens, cooked, boiled, drained, without salt",105,"1.0 cup, chopped",579
11148,"Chard, swiss, cooked, boiled, drained, without salt",175,"1.0 cup, chopped",572.8
11765,"Chard, swiss, cooked, boiled, drained, with salt",175,"1.0 cup, chopped",572.8
11569,"Turnip greens, cooked, boiled, drained, without salt",144,"1.0 cup, chopped",529.3
11891,"Turnip greens, cooked, boiled, drained, with salt",144,"1.0 cup, chopped",529.3
11802,"New zealand spinach, cooked, boiled, drained, with salt",180,"1.0 cup, chopped",525.6
11277,"New Zealand spinach, cooked, boiled, drained, without salt",180,"1.0 cup, chopped",525.6
11204,"Cress, garden, cooked, boiled, drained, without salt",135,1.0 cup,517.6
11781,"Cress, garden, cooked, boiled, drained, with salt",135,1.0 cup,517.6
11856,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt",95,0.5 cup,513.7
11464,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",95,0.5 cup,513.7
11800,"Mustard greens, frozen, cooked, boiled, drained, with salt",150,"1.0 cup, chopped or diced",502.6
11273,"Mustard greens, frozen, cooked, boiled, drained, without salt",150,"1.0 cup, chopped",502.6
3127,"Babyfood, vegetables, spinach, creamed, strained",240,1.0 cup,472.1
35205,"Stinging Nettles, blanched (Northern Plains Indians)",89,1.0 cup,443.8
11207,"Dandelion greens, raw",55,"1.0 cup, chopped",428.1
11892,"Turnip greens, frozen, cooked, boiled, drained, with salt",82,0.5 cup,425.5
43387,"Turnip greens, canned, no salt added",144,1.0 cup,413.3
36626,"Restaurant, Chinese, chicken and vegetables",693,1.0 order,379.1
11782,"Dandelion greens, cooked, boiled, drained, with salt",105,"1.0 cup, chopped",376.8
11003,"Amaranth leaves, raw",28,1.0 cup,319.2
11214,"Escarole, cooked, boiled, drained, no salt added",150,1.0 cup,317.8
36620,"Restaurant, Chinese, shrimp and vegetables",601,1.0 order,312.5
11746,"Brussels sprouts, frozen, cooked, boiled, drained, with salt",155,1.0 cup,299.9
11101,"Brussels sprouts, frozen, cooked, boiled, drained, without salt",155,1.0 cup,299.9
11147,"Chard, swiss, raw",36,1.0 cup,298.8
36603,"Restaurant, Chinese, beef and vegetables",574,1.0 order,294.5
11203,"Cress, garden, raw",50,1.0 cup,271
6980,"Soup, beef stroganoff, canned, chunky style, ready-to-serve",240,1.0 cup,246.7
11097,"Broccoli raab, cooked",85,1.0 NLEA serving,217.6
11291,"Onions, spring or scallions (includes tops and bulb), raw",100,"1.0 cup, chopped",207
36618,"Restaurant, Chinese, general tso's chicken",535,1.0 order,204.4
43143,"Cabbage, japanese style, fresh, pickled",150,1.0 cup,188.8
11276,"New Zealand spinach, raw",56,"1.0 cup, chopped",188.7
11827,"Pokeberry shoots, (poke), cooked, boiled, drained, with salt",165,1.0 cup,178.2
11351,"Pokeberry shoots, (poke), cooked, boiled, drained, without salt",165,1.0 cup,178.2
11658,Spinach souffle,136,1.0 cup,172
36622,"Restaurant, Chinese, sweet and sour pork",609,1.0 order,169.9
11743,"Broccoli, frozen, chopped, cooked, boiled, drained, with salt",184,1.0 cup,162.1
11093,"Broccoli, frozen, chopped, cooked, boiled, drained, without salt",184,1.0 cup,162.1
20112,"Noodles, egg, spinach, enriched, cooked",160,1.0 cup,161.8
36621,"Restaurant, Chinese, sweet and sour chicken",706,1.0 order,158.8
36629,"Restaurant, Chinese, orange chicken",648,1.0 order,158.1
11161,"Collards, raw",36,"1.0 cup, chopped",157.4
11098,"Brussels sprouts, raw",88,1.0 cup,155.8
36617,"Restaurant, Chinese, lemon chicken",623,1.0 order,152
11086,"Beet greens, raw",38,1.0 cup,152
11983,"Pickles, chowchow, with cauliflower onion mustard, sweet",245,1.0 cup,150.9
36633,"Restaurant, Chinese, sesame chicken",547,1.0 order,148.2
43144,"Cabbage, mustard, salted",128,1.0 cup,148
36025,"CRACKER BARREL, coleslaw",167,1.0 serving,147.1
36624,"Restaurant, Chinese, vegetable chow mein, without meat or noodles",777,1.0 order,146.9
11457,"Spinach, raw",30,1.0 cup,144.9
11270,"Mustard greens, raw",56,"1.0 cup, chopped",144.2
11709,"Asparagus, frozen, cooked, boiled, drained, with salt",180,1.0 cup,144
11019,"Asparagus, frozen, cooked, boiled, drained, without salt",180,1.0 cup,144
36022,"APPLEBEE'S, crunchy onion rings",350,1.0 serving,143.8
11158,"Chrysanthemum, garland, cooked, boiled, drained, without salt",100,"1.0 cup (1"" pieces)",142.7
11767,"Chrysanthemum, garland, cooked, boiled, drained, with salt",100,"1.0 cup (1"" pieces)",142.7
11568,"Turnip greens, raw",55,"1.0 cup, chopped",138
21127,"Fast foods, coleslaw",191,1.0 cup,135.4
36623,"Restaurant, Chinese, chicken chow mein",604,1.0 order,132.9
11092,"Broccoli, frozen, chopped, unprepared",156,1.0 cup,126.5
6629,"Sauce, pesto, CLASSICO, basil pesto, ready-to-serve",62,0.25 cup,120.2
6627,"Sauce, pesto, ready-to-serve, shelf stable",61,0.25 cup,118.2
11233,"Kale, raw",16,"1.0 cup 1"" pieces, loosely packed",112.8
36036,"Restaurant, family style, onion rings",259,1.0 serving,110.3
11091,"Broccoli, cooked, boiled, drained, without salt",78,"0.5 cup, chopped",110.1
11742,"Broccoli, cooked, boiled, drained, with salt",78,"0.5 cup, chopped",110.1
11505,"Sweet potato leaves, raw",35,"1.0 cup, chopped",105.8
9291,"Plums, dried (prunes), uncooked",174,"1.0 cup, pitted",103.5
11952,"Radicchio, raw",40,"1.0 cup, shredded",102.1
3091,"Babyfood, vegetables, green beans, strained",240,1.0 cup,101.8
11015,"Asparagus, canned, drained solids",242,1.0 cup,99.9
11094,"Broccoli, frozen, spears, unprepared",95,0.33 package (10 oz),96.3
6626,"Sauce, pesto, ready-to-serve, refrigerated",63,0.25 cup,95.2
6628,"Sauce, pesto, BUITONI, pesto with basil, ready-to-serve, refrigerated",63,0.25 cup,95.2
11023,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt",58,1.0 cup,94.6
11710,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, with salt",58,1.0 cup,94.6
36026,"CRACKER BARREL, onion rings, thick-cut",261,1.0 serving,94.2
36625,"Restaurant, Chinese, vegetable lo mein, without meat",741,1.0 order,94.1
11789,"Jute, potherb, cooked, boiled, drained, with salt",87,1.0 cup,94
11232,"Jute, potherb, cooked, boiled, drained, without salt",87,1.0 cup,94
19445,"Snacks, potato chips, made from dried potatoes, fat-free, made with olestra",28.35,1.0 oz,93.2
11090,"Broccoli, raw",91,1.0 cup chopped,92.5
11744,"Broccoli, frozen, spears, cooked, boiled, drained, with salt",92,0.5 cup,91.5
6192,"Split pea soup, canned, reduced sodium, prepared with water or ready-to serve",253,1.0 cup,91.3
11096,"Broccoli raab, raw",40,1.0 cup chopped,89.6
11157,"Chrysanthemum, garland, raw",25,"1.0 cup (1"" pieces)",87.5
16108,"Soybeans, mature seeds, raw",186,1.0 cup,87.4
16110,"Soybeans, mature seeds, roasted, salted",172,1.0 cup,86.7
20126,"Spaghetti, spinach, dry",57,2.0 oz,86.4
11152,"Chicory greens, raw",29,"1.0 cup, chopped",86.3
36035,"Restaurant, family style, coleslaw",108,1.0 serving,85.3
11591,"Watercress, raw",34,"1.0 cup, chopped",85
36031,"DENNY'S, onion rings",166,1.0 serving,84
36407,"Restaurant, Latino, Arroz con grandules (rice and pigeonpeas)",653,1.0 serving,82.3
